setting,description,seed,n_seeds_total,masked,pr_auc,roc_auc,recall_fixed,precision_fixed,far_fixed,rmse,mae,r2
drop_intra_segment,세그먼트 내 통계 제외 (스펙트로그램에서 복원 가능),77,8,"rms_energy,kurtosis,peak_amplitude,crest_factor",0.7357837877764806,0.8977085517447955,84.41558441558442,67.01030927835052,15.815485996705107,2.6123899299760427,2.242077112197876,0.5078510046005249
drop_intra_segment,세그먼트 내 통계 제외 (스펙트로그램에서 복원 가능),88,8,"rms_energy,kurtosis,peak_amplitude,crest_factor",0.7247910023761852,0.8928731894135519,82.68398268398268,65.86206896551724,16.30971993410214,2.6653211199048217,2.1838743686676025,0.4877054691314697
drop_all,상태 입력 전체 제외,11,8,"rms_energy,kurtosis,peak_amplitude,crest_factor,energy_trend_slope,cumulative_energy",0.6033103523764989,0.820342754444896,55.84415584415584,60.563380281690144,13.838550247116968,2.939908764779453,2.28975510597229,0.3767126202583313
drop_all,상태 입력 전체 제외,22,8,"rms_energy,kurtosis,peak_amplitude,crest_factor,energy_trend_slope,cumulative_energy",0.6018269639913254,0.8167483258092815,56.70995670995671,57.9646017699115,15.650741350906095,2.966007290831831,2.3009936809539795,0.3655972480773926
drop_all,상태 입력 전체 제외,33,8,"rms_energy,kurtosis,peak_amplitude,crest_factor,energy_trend_slope,cumulative_energy",0.5792627322779305,0.8041963527960233,49.35064935064935,58.16326530612245,13.509060955518946,3.0231718986616394,2.3059730529785156,0.34090757369995117
drop_all,상태 입력 전체 제외,44,8,"rms_energy,kurtosis,peak_amplitude,crest_factor,energy_trend_slope,cumulative_energy",0.600289061184242,0.8179036778707289,55.41125541125541,60.093896713615024,14.00329489291598,2.994968804911834,2.3201515674591064,0.3531475067138672
drop_all,상태 입력 전체 제외,55,8,"rms_energy,kurtosis,peak_amplitude,crest_factor,energy_trend_slope,cumulative_energy",0.5841178737885357,0.8099588494975646,53.246753246753244,60.294117647058826,13.344316309719934,3.052247773168331,2.3278656005859375,0.32816874980926514
drop_all,상태 입력 전체 제외,66,8,"rms_energy,kurtosis,peak_amplitude,crest_factor,energy_trend_slope,cumulative_energy",0.5950943912749709,0.8135104873160887,55.84415584415584,59.72222222222222,14.332784184514002,3.031055090232108,2.323349714279175,0.3374658226966858
drop_all,상태 입력 전체 제외,77,8,"rms_energy,kurtosis,peak_amplitude,crest_factor,energy_trend_slope,cumulative_energy",0.5917985322785232,0.8116633503783421,49.35064935064935,60.0,12.520593080724877,3.017108611582366,2.3286666870117188,0.34354865550994873
drop_all,상태 입력 전체 제외,88,8,"rms_energy,kurtosis,peak_amplitude,crest_factor,energy_trend_slope,cumulative_energy",0.5976922489423238,0.8173188700371566,54.97835497835498,57.46606334841629,15.485996705107084,2.9542825034978684,2.3114776611328125,0.3706030249595642
